"id","name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","MunicipalityBFSNr","FactsEnglish","OffencesTotal","Residents","BurglariesPerResident","avg.price"
18594233,"Lovely flat in Schmiede Wiedikon","Kreis 3","Alt-Wiedikon",47.36871,8.51761,"Entire home/apt",258,261,"TotalCrime",304,48865,0.00622122173334698,1564
18845736,"Moderne 2,5 Zi.-Wohnung Zürich-City","Kreis 2","Enge",47.35975,8.52788,"Entire home/apt",81,261,"TotalCrime",251,35494,0.00707161773820927,1803
18966169,"Airy and sunny room","Kreis 10","Höngg",47.40707,8.49305,"Private room",30,261,"TotalCrime",180,39719,0.00453183614894635,1614
19058271,"3.5 room apartment in Zurich-Oerlikon (BA-21)","Kreis 11","Oerlikon",47.40942,8.54102,"Entire home/apt",130,261,"TotalCrime",400,73223,0.00546276443194078,1540
19081523,"Beautiful 3.5rm apartment (central, near Idaplatz)","Kreis 3","Sihlfeld",47.37618,8.50995,"Entire home/apt",280,261,"TotalCrime",304,48865,0.00622122173334698,1564
19133540,"⭐️⭐️⭐️ Comfortable Apartment in the Center of Zurich","Kreis 4","Hard",47.38349,8.50863,"Entire home/apt",79,261,"TotalCrime",303,27765,0.010913019989195,1656
19185438,"In Wipkingen eine möbilierte 3 Zimmer wohnung","Kreis 10","Wipkingen",47.39449,8.52004,"Entire home/apt",80,261,"TotalCrime",180,39719,0.00453183614894635,1614
19205207,"Exclusive 160m2 lake front penthouse","Kreis 8","Seefeld",47.36317,8.54612,"Entire home/apt",630,261,"TotalCrime",107,17152,0.00623833955223881,2237
19220952,"2 Bedroom Apartment with Balcony","Kreis 3","Alt-Wiedikon",47.35835,8.51756,"Entire home/apt",339,261,"TotalCrime",304,48865,0.00622122173334698,1564
19283462,"Styled, cozy, surrounded by nature","Kreis 7","Witikon",47.36027,8.57639,"Private room",120,261,"TotalCrime",184,37662,0.00488556104296107,1992
19283897,"Zimmer in Luxus Apartment, Wahnsinns Aussicht","Kreis 5","Escher Wyss",47.39019,8.5115,"Private room",106,261,"TotalCrime",194,15331,0.012654099536886,1801
19310604,"Room in vintage apt in the heart of Zürich","Kreis 1","Lindenhof",47.37162,8.53965,"Private room",93,261,"TotalCrime",153,5411,0.0282757346146738,2317
19330353,"Central Zurich Studio","Kreis 5","Gewerbeschule",47.382,8.52983,"Entire home/apt",99,261,"TotalCrime",194,15331,0.012654099536886,1801
19359438,"Schöne, grosse Wohnung","Kreis 2","Wollishofen",47.33132,8.52768,"Entire home/apt",115,261,"TotalCrime",251,35494,0.00707161773820927,1803
19397174,"Central City Location, Quiet Area,by the park","Kreis 8","Mühlebach",47.36007,8.5554,"Private room",108,261,"TotalCrime",107,17152,0.00623833955223881,2237
19596005,"Central n quiet entire flat + free parking space.","Kreis 7","Hirslanden",47.35518,8.57618,"Entire home/apt",36,261,"TotalCrime",184,37662,0.00488556104296107,1992
19618198,"Big Room Near City Center","Kreis 4","Werd",47.37458,8.51981,"Private room",60,261,"TotalCrime",303,27765,0.010913019989195,1656
19674031,"4-rooms flat in Zürich Seefeld","Kreis 8","Mühlebach",47.35814,8.55635,"Entire home/apt",150,261,"TotalCrime",107,17152,0.00623833955223881,2237
19678667,"2 Bedroom Apartment with Garden View","Kreis 3","Alt-Wiedikon",47.35976,8.51851,"Entire home/apt",346,261,"TotalCrime",304,48865,0.00622122173334698,1564
19713443,"Central city,beutiful area,parking","Kreis 8","Mühlebach",47.36041,8.55566,"Private room",102,261,"TotalCrime",107,17152,0.00623833955223881,2237
19715409,"Roof Loft Villa Enge","Kreis 2","Enge",47.361,8.52976,"Entire home/apt",90,261,"TotalCrime",251,35494,0.00707161773820927,1803
19735394,"New Rooftop-Apartment, central and quiet","Kreis 6","Oberstrass",47.38342,8.5495,"Entire home/apt",150,261,"TotalCrime",221,33665,0.00656468141987227,1731
19743179,"9 Min. von City/HB, kl. Zimmer in romant. Haus.","Kreis 9","Albisrieden",47.36502,8.49349,"Private room",39,261,"TotalCrime",350,55824,0.00626970478647177,1569
19755371,"Perfekt Home at the city center","Kreis 3","Sihlfeld",47.37099,8.51514,"Entire home/apt",140,261,"TotalCrime",304,48865,0.00622122173334698,1564
